Product or Service Code,Product or Service Description,Contracting Agency Name,Contracting Department Name,Funding Agency Name,Principal Place of Performance City Name,Principal Place of Performance State Code,Principal Place of Performance Country Name,Signed Date,Extent Competed,Fair Opportunity/Limited Sources,Type of Contract,Description of Requirement,Vendor Name,PIID,Referenced  IDV PIID,DUNS Number,Action Obligation
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHANTILLY,VA,UNITED STATES,2/3/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,"MCCLELLAN AOC 3 
IGF::OT::IGF
THIS MODIFICATION ADDS INCREMENTAL FUNDING TO CONTINUE ON-GOING WORK UNDER THIS REGION 9 REMEDIAL OVERSIGHT CONTRACT.",TECHLAW INCORPORATED,71,EPW07066,116211863,"$198,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHANTILLY,VA,UNITED STATES,3/31/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,CLOSELY ASSOCIATED - SCIENTIFIC AND TECHNICAL SUPPORT FOR THE ENGINEERING AND ANALYSIS DIVISION,COMPUTER SCIENCES CORPORATION,EPC12008,,135962137,"$150,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHANTILLY,VA,UNITED STATES,4/9/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,CLOSELY ASSOCIATED - SCIENTIFIC AND TECHNICAL SUPPORT FOR THE ENGINEERING AND ANALYSIS DIVISION,COMPUTER SCIENCES CORPORATION,EPC12008,,135962137,"$50,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHANTILLY,VA,UNITED STATES,4/10/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,CLOSELY ASSOCIATED - SCIENTIFIC AND TECHNICAL SUPPORT FOR THE ENGINEERING AND ANALYSIS DIVISION,COMPUTER SCIENCES CORPORATION,EPC12008,,135962137,"$645,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHANTILLY,VA,UNITED STATES,5/29/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,CLOSELY ASSOCIATED - SCIENTIFIC AND TECHNICAL SUPPORT FOR THE ENGINEERING AND ANALYSIS DIVISION,COMPUTER SCIENCES CORPORATION,EPC12008,,135962137,"$40,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHANTILLY,VA,UNITED STATES,6/15/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,CLOSELY ASSOCIATED - SCIENTIFIC AND TECHNICAL SUPPORT FOR THE ENGINEERING AND ANALYSIS DIVISION,COMPUTER SCIENCES CORPORATION,EPC12008,,135962137,"$161,500.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHANTILLY,VA,UNITED STATES,7/6/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,CLOSELY ASSOCIATED - SCIENTIFIC AND TECHNICAL SUPPORT FOR THE ENGINEERING AND ANALYSIS DIVISION,COMPUTER SCIENCES CORPORATION,EPC12008,,135962137,"$310,725.14 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHANTILLY,VA,UNITED STATES,9/15/2015,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,CLOSELY ASSOCIATED - SCIENTIFIC AND TECHNICAL SUPPORT FOR THE ENGINEERING AND ANALYSIS DIVISION,COMPUTER SCIENCES CORPORATION,EPC12008,,135962137,"$154,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHANTILLY,VA,UNITED STATES,9/29/2015,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,TIME AND MATERIALS,"IGF::OT::IGF 

TO PROVIDE CONTRACTOR OVERSIGHT SUPPORT AT THE WRIGHT-PATTERSON AIR FORCE BASE ON CONTRACT# EP-S4-14-01.","TECHLAW, INC.",5008,EPS41401,116211863,"$50,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHANTILLY,VA,UNITED STATES,9/30/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,"EIELSON AIR FORCE BASE
IGF::CL::IGF
THIS MODIFICATION EXTENDS THE POP, INCORPORATES A REVISED PWS, APPROVES THE CONTRACTOR'S REVISED PROPOSAL, AND ADDS INCREMENTAL FUNDING TO CONTINUE ON-GOING WORK UNDER THIS REGION 10 CROSSOVER TASK ORDER UNDER THE R9 REGIONAL OVERSIGHT CONTRACT.",TECHLAW INCORPORATED,1003,EPW07066,116211863,"$152,081.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHARLOTTESVILLE,VA,UNITED STATES,10/9/2014,FULL AND OPEN COMPETITION,FAIR OPPORTUNITY GIVEN,TIME AND MATERIALS,"TECHNICAL AND ANALYTICAL SUPPORT TO EPA'S OFFICE OF UNDERGROUND STORAGE TANKS

THE PURPOSE OF THIS MODIFICATION IS TO APPROVE CONTRACTOR'S WORK PLAN DATED OCTOBER 09TH, 2014 FOR WORK ORDER NUMBER 2012, IN THE AMOUNT OF $34,334.84 AND WORK ORDER NUMBER 2013, IN THE AMOUNT OF $1,627.60. IN ADDITION, INCREMENTAL FUNDING IS PROVIDED FOR THE TASK ORDER IN THE AMOUNT OF $35,962.44. THE CONTRACTOR IS NOT AUTHORIZED TO EXCEED THE TOTAL APPROVED COST CEILING AMOUNT OF $579,692.86 
NOR THE APPROVED FUNDING CEILING OF $576,109.80 WITHOUT PRIOR APPROVAL BY THE CONTRACTING OFFICER.","SKEO SOLUTIONS , INC.",EPG10S00001,GS10F0309N,963278551,"$35,962.44 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHARLOTTESVILLE,VA,UNITED STATES,10/29/2014,FULL AND OPEN COMPETITION,FAIR OPPORTUNITY GIVEN,TIME AND MATERIALS,"TECHNICAL AND ANALYTICAL SUPPORT TO EPA'S OFFICE OF UNDERGROUND STORAGE TANKS

THE PURPOSE OF THIS MODIFICATION IS TO NOTIFY THE CONTRACTOR OF THE GOVERNMENT'S INTENT TO AWARD (AWARD TERM INCENTIVE TWO (2)) WITH A PERIOD OF PERFORMANCE OF 12/1/2016 THROUGH 11/30/2017 CONTINGENT ON THE AVAILABILITY OF FUNDING. PLEASE NOTE ALL TERMS AND CONDITIONS REMAIN THE SAME.","SKEO SOLUTIONS , INC.",EPG10S00001,GS10F0309N,963278551,"$89,167.15 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHARLOTTESVILLE,VA,UNITED STATES,11/25/2014,FULL AND OPEN COMPETITION,FAIR OPPORTUNITY GIVEN,TIME AND MATERIALS,"TECHNICAL AND ANALYTICAL SUPPORT TO EPA'S OFFICE OF UNDERGROUND STORAGE TANKS

THE PURPOSE OF THIS MODIFICATION IS TO APPROVE THE CONTRACTOR'S WORK PLANS: 3001 DATED 11/24/14 IN THE AMOUNT OF $9,304.70; 3002 DATED 11/21/14 IN THE AMOUNT OF $85,455.00; 3003 DATED 11/20/14 IN THE AMOUNT OF $59,406.14; 3004 DATED 11/20/14 IN THE AMOUNT OF $42,919.80; 3005 DATED 11/24/14 IN THE AMOUNT OF $42,098.40; 3006 DATED 11/24/14  IN THE AMOUNT OF $162,892.05;  3007  DATED 11/24/14  IN THE AMOUNT OF  $26,755.20 AND 3008 DATED 11/24/14  IN THE AMOUNT OF $79,303.10.
THIS MODIFICATION ALSO ADDS INCREMENTAL FUNDING IN THE AMOUNT OF $111,438.34. THE CONTRACTOR IS NOT AUTHORIZED TO EXCEED THE TOTAL APPROVED COST CEILING AMOUNT OF $508,134.39  NOR THE APPROVED FUNDING CEILING OF $111,438.34 WITHOUT PRIOR APPROVAL BY THE CONTRACTING OFFICER.","SKEO SOLUTIONS , INC.",EPG10S00001,GS10F0309N,963278551,"$111,438.34 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHARLOTTESVILLE,VA,UNITED STATES,12/17/2014,FULL AND OPEN COMPETITION,FAIR OPPORTUNITY GIVEN,TIME AND MATERIALS,"TECHNICAL AND ANALYTICAL SUPPORT TO EPA'S OFFICE OF UNDERGROUND STORAGE TANKS

THE PURPOSE OF THIS MODIFICATION IS TO INCREMENTALLY FUND OPTION PERIOD THREE (3) THROUGH REQUISITION NUMBERS: PR-OSWER-15-00057 IN THE AMOUNT OF $10,064.00; PR-OSWER-15-00058 IN THE AMOUNT OF $5,782.26; PR-OSWER-15-00060 IN THE AMOUNT OF $95,679.45; PR-OSWER-15-00063 IN THE AMOUNT OF $2,196.32 AND PR-OSWER-15-00064 IN THE AMOUNT OF $68,443.66 TOTALING $182,165.69.

THE CONTRACTOR IS NOT AUTHORIZED TO EXCEED THE TOTAL APPROVED COST CEILING AMOUNT OF $508,134.39  NOR THE APPROVED FUNDING CEILING OF $551,005.25 WITHOUT PRIOR APPROVAL BY THE CONTRACTING OFFICER","SKEO SOLUTIONS , INC.",EPG10S00001,GS10F0309N,963278551,"$182,165.69 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHARLOTTESVILLE,VA,UNITED STATES,7/7/2015,FULL AND OPEN COMPETITION,FAIR OPPORTUNITY GIVEN,TIME AND MATERIALS,"TECHNICAL AND ANALYTICAL SUPPORT TO EPA'S OFFICE OF UNDERGROUND STORAGE TANKS

THE PURPOSE OF THIS MODIFICATION IS TO ACCEPT AND APPROVE WORK ORDER 3009 DATED 6-29-2015 IN THE AMOUNT OF $51,466.60. THIS MODIFICATION ALSO INCREMENTALLY FUND OPTION PERIOD THREE (3) VIA REQUISITION NUMBERS: PR-OSWER-15-00404 IN THE AMOUNT OF $25,685.84 AND PR-OSWER-15-00405 IN THE AMOUNT OF $25,780.76. THE CONTRACTOR IS NOT AUTHORIZED TO EXCEED THE TOTAL APPROVED COST CEILING AMOUNT OF $568,724.39 NOR THE APPROVED FUNDING CEILING OF $614,159.17 WITHOUT PRIOR APPROVAL BY THE CONTRACTING OFFICER.","SKEO SOLUTIONS , INC.",EPG10S00001,GS10F0309N,963278551,"$51,466.60 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHARLOTTESVILLE,VA,UNITED STATES,8/4/2015,FULL AND OPEN COMPETITION,FAIR OPPORTUNITY GIVEN,FIRM FIXED PRICE,"THE PURPOSE OF THIS MODIFICATION IS TO OBLIGATE FUNDING IN THE AMOUNT OF $250,000 TO OPTION PERIOD TWO (2). THE NEW FUNDING CEILING IS $441,660.00. THE CONTRACTOR IS NOT AUTHORIZED TO EXCEED THE FUNDING CEILING WITHOUT PRIOR APPROVAL BY THE CONTRACTING OFFICER.

ALL TERMS AND CONDITIONS REMAIN THE SAME.




IGF::CL::IGF

FFRRO MISSION SUPPORT CONTRACT.","SKEO SOLUTIONS , INC.",EPG13S00085,GS10F0309N,963278551,"$250,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHARLOTTESVILLE,VA,UNITED STATES,9/30/2015,FULL AND OPEN COMPETITION,FAIR OPPORTUNITY GIVEN,FIRM FIXED PRICE,"THE PURPOSE OF THIS MODIFICATION IS TO OBLIGATE FUNDING IN THE AMOUNT OF $27,140 TO OPTION PERIOD TWO (2). THE NEW FUNDING CEILING IS $468,800 WHICH ALSO FULLY FUNDS OPTION PERIOD 2. THE CONTRACTOR IS NOT AUTHORIZED TO EXCEED THE FUNDING CEILING WITHOUT PRIOR APPROVAL BY THE CONTRACTING OFFICER.

ALL TERMS AND CONDITIONS REMAIN THE SAME.





IGF::CL::IGF

FFRRO MISSION SUPPORT CONTRACT.","SKEO SOLUTIONS , INC.",EPG13S00085,GS10F0309N,963278551,"$27,140.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,1/20/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,IGF::CT::IGF START IV TO#4,"TETRA TECH EM, INC.",4,EPS51301,178599221,"$55,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,2/18/2015,FULL AND OPEN COMPETITION,FAIR OPPORTUNITY GIVEN,TIME AND MATERIALS,"IGF::CL::IGF  
THE CONTRACTOR SHALL PROVIDE SITE-SPECIFIC REVIEW AND ANALYSES OF THE DISPOITION AND TRANSPORT OF CONTAMINATED GROUNDWATER, IDENTIFICATION OF CONTAMINATION SOURCES AND INTEGRATION OF ANALYSIS WITH EVS/MVS.","S.S. PAPADOPULOS & ASSOCIATES, INC.",EPG14500278,GS10F0462M,52040714,"$46,570.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,3/17/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,IGF::CT::IGF START IV TO#4,"TETRA TECH EM, INC.",4,EPS51301,178599221,"$150,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,3/25/2015,FULL AND OPEN COMPETITION,FAIR OPPORTUNITY GIVEN,TIME AND MATERIALS,"IGF::CL::IGF  
THE CONTRACTOR SHALL PROVIDE SITE-SPECIFIC REVIEW AND ANALYSES OF THE DISPOITION AND TRANSPORT OF CONTAMINATED GROUNDWATER, IDENTIFICATION OF CONTAMINATION SOURCES AND INTEGRATION OF ANALYSIS WITH EVS/MVS.","S.S. PAPADOPULOS & ASSOCIATES, INC.",EPG14500278,GS10F0462M,52040714,"$80,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,4/10/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,"TASK ORDER AWARD FOR EP-S5-13-01, TO 0011, FOR OSWER CROSSOVER WORK

IGF::OT::IGF","TETRA TECH EM, INC.",11,EPS51301,178599221,"$200,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,5/4/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,IGF::CT::IGF START IV TO#7-HOMELAND SECURITY,"TETRA TECH EM, INC.",7,EPS51301,178599221,"$100,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,5/4/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,IGF::CT::IGF START IV-TO #1 REMOVAL,"TETRA TECH EM, INC.",1,EPS51301,178599221,"$2,000,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,5/13/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,IGF::CT::IGF START IV TO#3-BROWNFIELDS,"TETRA TECH EM, INC.",3,EPS51301,178599221,"$434,406.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,5/15/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,IGF::CT::IGF START IV TO#4,"TETRA TECH EM, INC.",4,EPS51301,178599221,"$100,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,6/5/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,"EP-S5-13-01 TO 10 REGION 2 KIL-TONE SITE 

IGF::OT::IGF","TETRA TECH EM, INC.",10,EPS51301,178599221,"$100,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,6/22/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,IGF::CT::IGF START IV TO#3-BROWNFIELDS,"TETRA TECH EM, INC.",3,EPS51301,178599221,"$200,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,6/22/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,IGF::CT::IGF START IV-TO #1 REMOVAL,"TETRA TECH EM, INC.",1,EPS51301,178599221,"$1,000,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,6/23/2015,FULL AND OPEN COMPETITION,FAIR OPPORTUNITY GIVEN,TIME AND MATERIALS,"IGF::CL::IGF  
THE CONTRACTOR SHALL PROVIDE SITE-SPECIFIC REVIEW AND ANALYSES OF THE DISPOITION AND TRANSPORT OF CONTAMINATED GROUNDWATER, IDENTIFICATION OF CONTAMINATION SOURCES AND INTEGRATION OF ANALYSIS WITH EVS/MVS.","S.S. PAPADOPULOS & ASSOCIATES, INC.",EPG14500278,GS10F0462M,52040714,"$80,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,7/7/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,IGF::CT::IGF START IV TO#6-PREPAREDNESS AND PLANNING,"TETRA TECH EM, INC.",6,EPS51301,178599221,"$50,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,7/7/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,IGF::CT::IGF START IV TO#7-HOMELAND SECURITY,"TETRA TECH EM, INC.",7,EPS51301,178599221,"$180,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,7/7/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,"START IV TO#2-REMEDIAL

IGF::CT::IGF","TETRA TECH EM, INC.",2,EPS51301,178599221,"$130,200.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,7/24/2015,FULL AND OPEN COMPETITION,FAIR OPPORTUNITY GIVEN,TIME AND MATERIALS,"IGF::CL::IGF  
THE CONTRACTOR SHALL PROVIDE SITE-SPECIFIC REVIEW AND ANALYSES OF THE DISPOITION AND TRANSPORT OF CONTAMINATED GROUNDWATER, IDENTIFICATION OF CONTAMINATION SOURCES AND INTEGRATION OF ANALYSIS WITH EVS/MVS.","S.S. PAPADOPULOS & ASSOCIATES, INC.",EPG14500278,GS10F0462M,52040714,"$50,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,8/13/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,IGF::CT::IGF START IV TO#4,"TETRA TECH EM, INC.",4,EPS51301,178599221,"$200,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,8/21/2015,FULL AND OPEN COMPETITION,FAIR OPPORTUNITY GIVEN,TIME AND MATERIALS,"IGF::CL::IGF  
THE CONTRACTOR SHALL PROVIDE SITE-SPECIFIC REVIEW AND ANALYSES OF THE DISPOITION AND TRANSPORT OF CONTAMINATED GROUNDWATER, IDENTIFICATION OF CONTAMINATION SOURCES AND INTEGRATION OF ANALYSIS WITH EVS/MVS.","S.S. PAPADOPULOS & ASSOCIATES, INC.",EPG14500278,GS10F0462M,52040714,"$28,039.15 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,8/27/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,"EP-S5-13-01 TO 10 REGION 2 KIL-TONE SITE 

IGF::OT::IGF","TETRA TECH EM, INC.",10,EPS51301,178599221,"$150,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,9/1/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,IGF::CT::IGF START IV-TO #1 REMOVAL,"TETRA TECH EM, INC.",1,EPS51301,178599221,"$700,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,9/10/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,"START IV TO#2-REMEDIAL

IGF::CT::IGF","TETRA TECH EM, INC.",2,EPS51301,178599221,"$250,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,9/16/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,IGF::CT::IGF START IV TO#5-REGION2 BUY-IN,"TETRA TECH EM, INC.",5,EPS51301,178599221,"$25,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,9/17/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,IGF::CT::IGF START IV TO#7-HOMELAND SECURITY,"TETRA TECH EM, INC.",7,EPS51301,178599221,"$30,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,9/18/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,IGF::CT::IGF START IV TO#6-PREPAREDNESS AND PLANNING,"TETRA TECH EM, INC.",6,EPS51301,178599221,"$122,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,9/18/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,"TASK ORDER AWARD FOR EP-S5-13-01, TO 0011, FOR OSWER CROSSOVER WORK

IGF::OT::IGF","TETRA TECH EM, INC.",11,EPS51301,178599221,"$130,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,9/23/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,IGF::CT::IGF START IV TO#8-CEPP,"TETRA TECH EM, INC.",8,EPS51301,178599221,"$60,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,9/23/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,IGF::CT::IGF START IV TO#8-EPCRA DATABASE MAINTENANCE,"TETRA TECH EM, INC.",9,EPS51301,178599221,"$50,000.00 "
R499,SUPPORT- PROFESSIONAL: OTHER,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,ENVIRONMENTAL PROTECTION AGENCY,CHICAGO,IL,UNITED STATES,9/25/2015,FULL AND OPEN COMPETITION,,TIME AND MATERIALS,"IGF::CT::IGF 
START IV-TO #1 REMOVAL","TETRA TECH EM, INC.",1,EPS51301,178599221,"$497,611.00 "
